,division_code,division_name,major_group_code,major_group_name,industry_group_code,industry_group_name
129,D,Manufacturing,20,Food And Kindred Products,2000,FOOD AND KINDRED PRODUCTS
130,D,Manufacturing,20,Food And Kindred Products,2011,Meat Packing Plants
131,D,Manufacturing,20,Food And Kindred Products,2013,Sausages and Other Prepared Meat Products
132,D,Manufacturing,20,Food And Kindred Products,2015,Poultry Slaughtering and Processing
133,D,Manufacturing,20,Food And Kindred Products,2020,DAIRY PRODUCTS
134,D,Manufacturing,20,Food And Kindred Products,2021,Creamery Butter
135,D,Manufacturing,20,Food And Kindred Products,2023,"Dry, Condensed, and Evaporated Dairy Products"
136,D,Manufacturing,20,Food And Kindred Products,2024,Ice Cream and Frozen Desserts
137,D,Manufacturing,20,Food And Kindred Products,2026,Fluid Milk
138,D,Manufacturing,20,Food And Kindred Products,2030,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
139,D,Manufacturing,20,Food And Kindred Products,2032,Canned Specialties
140,D,Manufacturing,20,Food And Kindred Products,2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies"
141,D,Manufacturing,20,Food And Kindred Products,2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes"
142,D,Manufacturing,20,Food And Kindred Products,2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings"
143,D,Manufacturing,20,Food And Kindred Products,2037,"Frozen Fruits, Fruit Juices, and Vegetables"
144,D,Manufacturing,20,Food And Kindred Products,2038,"Frozen Specialties, Not Elsewhere Classified"
145,D,Manufacturing,20,Food And Kindred Products,2040,GRAIN MILL PRODUCTS
146,D,Manufacturing,20,Food And Kindred Products,2041,Flour and Other Grain Mill Products
147,D,Manufacturing,20,Food And Kindred Products,2043,Cereal Breakfast Foods
148,D,Manufacturing,20,Food And Kindred Products,2044,Rice Milling
149,D,Manufacturing,20,Food And Kindred Products,2045,Prepared Flour Mixes and Doughs
150,D,Manufacturing,20,Food And Kindred Products,2046,Wet Corn Milling
151,D,Manufacturing,20,Food And Kindred Products,2047,Dog and Cat Food
152,D,Manufacturing,20,Food And Kindred Products,2048,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats"
153,D,Manufacturing,20,Food And Kindred Products,2050,BAKERY PRODUCTS
154,D,Manufacturing,20,Food And Kindred Products,2051,"Bread and Other Bakery Products, Except Cookies and Crackers"
155,D,Manufacturing,20,Food And Kindred Products,2052,Cookies and Crackers
156,D,Manufacturing,20,Food And Kindred Products,2053,"Frozen Bakery Products, Except Bread"
157,D,Manufacturing,20,Food And Kindred Products,2060,SUGAR & CONFECTIONERY PRODUCTS
158,D,Manufacturing,20,Food And Kindred Products,2061,"Cane Sugar, Except Refining"
159,D,Manufacturing,20,Food And Kindred Products,2062,Cane Sugar Refining
160,D,Manufacturing,20,Food And Kindred Products,2063,Beet Sugar
161,D,Manufacturing,20,Food And Kindred Products,2064,Candy and Other Confectionery Products
162,D,Manufacturing,20,Food And Kindred Products,2066,Chocolate and Cocoa Products
163,D,Manufacturing,20,Food And Kindred Products,2067,Chewing Gum
164,D,Manufacturing,20,Food And Kindred Products,2068,Salted and Roasted Nuts and Seeds
165,D,Manufacturing,20,Food And Kindred Products,2070,FATS & OILS
166,D,Manufacturing,20,Food And Kindred Products,2074,Cottonseed Oil Mills
167,D,Manufacturing,20,Food And Kindred Products,2075,Soybean Oil Mills
168,D,Manufacturing,20,Food And Kindred Products,2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean"
169,D,Manufacturing,20,Food And Kindred Products,2077,Animal and Marine Fats and Oils
170,D,Manufacturing,20,Food And Kindred Products,2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified"
171,D,Manufacturing,20,Food And Kindred Products,2080,BEVERAGES
172,D,Manufacturing,20,Food And Kindred Products,2082,Malt Beverages
173,D,Manufacturing,20,Food And Kindred Products,2083,Malt
174,D,Manufacturing,20,Food And Kindred Products,2084,"Wines, Brandy, and Brandy Spirits"
175,D,Manufacturing,20,Food And Kindred Products,2085,Distilled and Blended Liquors
176,D,Manufacturing,20,Food And Kindred Products,2086,Bottled and Canned Soft Drinks and Carbonated Waters
177,D,Manufacturing,20,Food And Kindred Products,2087,"Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified"
178,D,Manufacturing,20,Food And Kindred Products,2090,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
179,D,Manufacturing,20,Food And Kindred Products,2091,Canned and Cured Fish and Seafoods
180,D,Manufacturing,20,Food And Kindred Products,2092,Prepared Fresh or Frozen Fish and Seafoods
181,D,Manufacturing,20,Food And Kindred Products,2095,Roasted Coffee
182,D,Manufacturing,20,Food And Kindred Products,2096,"Potato Chips, Corn Chips, and Similar Snacks"
183,D,Manufacturing,20,Food And Kindred Products,2097,Manufactured Ice
184,D,Manufacturing,20,Food And Kindred Products,2098,"Macaroni, Spaghetti, Vermicelli, and Noodles"
185,D,Manufacturing,20,Food And Kindred Products,2099,"Food Preparations, Not Elsewhere Classified"
186,D,Manufacturing,20,Food And Kindred Products,"Natural,","Processed, and Imitation Cheese"
187,D,Manufacturing,21,Tobacco Products,2100,TOBACCO PRODUCTS
188,D,Manufacturing,21,Tobacco Products,2111,Cigarettes
189,D,Manufacturing,21,Tobacco Products,2121,Cigars
190,D,Manufacturing,21,Tobacco Products,2131,Chewing and Smoking Tobacco and Snuff
191,D,Manufacturing,21,Tobacco Products,2141,Tobacco Stemming and Redrying
192,D,Manufacturing,22,Textile Mill Products,2200,TEXTILE MILL PRODUCTS
193,D,Manufacturing,22,Textile Mill Products,2211,"Broadwoven Fabric Mills, Cotton"
194,D,Manufacturing,22,Textile Mill Products,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk"
195,D,Manufacturing,22,Textile Mill Products,2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing)"
196,D,Manufacturing,22,Textile Mill Products,2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber"
197,D,Manufacturing,22,Textile Mill Products,2250,KNITTING MILLS
198,D,Manufacturing,22,Textile Mill Products,2251,"Women's Full-Length and Knee-Length Hosiery, Except Socks"
199,D,Manufacturing,22,Textile Mill Products,2252,"Hosiery, Not Elsewhere Classified"
200,D,Manufacturing,22,Textile Mill Products,2253,Knit Outerwear Mills
201,D,Manufacturing,22,Textile Mill Products,2254,Knit Underwear and Nightwear Mills
202,D,Manufacturing,22,Textile Mill Products,2257,Weft Knit Fabric Mills
203,D,Manufacturing,22,Textile Mill Products,2258,Lace and Warp Knit Fabric Mills
204,D,Manufacturing,22,Textile Mill Products,2259,"Knitting Mills, Not Elsewhere Classified"
205,D,Manufacturing,22,Textile Mill Products,2261,Finishers of Broadwoven Fabrics of Cotton
206,D,Manufacturing,22,Textile Mill Products,2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk
207,D,Manufacturing,22,Textile Mill Products,2269,"Finishers of Textiles, Not elsewhere Classified"
208,D,Manufacturing,22,Textile Mill Products,2273,Carpets and Rugs
209,D,Manufacturing,22,Textile Mill Products,2281,Yarn Spinning Mills
210,D,Manufacturing,22,Textile Mill Products,2282,"Yarn Texturizing, Throwing, Twisting, and Winding Mills"
211,D,Manufacturing,22,Textile Mill Products,2284,Thread Mills
212,D,Manufacturing,22,Textile Mill Products,2295,"Coated Fabrics, Not Rubberized"
213,D,Manufacturing,22,Textile Mill Products,2296,Tire Cord and Fabrics
214,D,Manufacturing,22,Textile Mill Products,2297,Non-woven Fabrics
215,D,Manufacturing,22,Textile Mill Products,2298,Cordage and Twine
216,D,Manufacturing,22,Textile Mill Products,2299,"Textile goods, Not Elsewhere Classified"
217,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2300,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
218,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2311,"Men's and Boys' Suits, Coats, and Overcoats"
219,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2320,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
220,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2321,"Men's and Boys' Shirts, Except Work Shirts"
221,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2322,Men's and Boys' Underwear and Nightwear
222,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2323,Men's and Boys' Neckwear
223,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2325,Men's and Boys' Separate Trousers and Slacks
224,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2326,Men's and Boys' Work Clothing
225,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2329,"Men's and Boys' Clothing, Not Elsewhere Classified"
226,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2330,"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR"
227,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2331,"Women's, Misses', and Juniors' Blouses and Shirts"
228,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2335,"Women's, Misses', and Juniors' Dresses"
229,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2337,"Women's, Misses', and Juniors' Suits, Skirts, and Coats"
230,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2339,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified"
231,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2340,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS"
232,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2341,"Women's, Misses', Children's, and Infants' Underwear and Nightwear"
233,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2342,"Brassieres, Girdles, and Allied Garments"
234,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2353,"Hats, Caps, and Millinery"
235,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2361,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts"
236,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2369,"Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified"
237,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2371,Fur Goods
238,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2381,"Dress and Work Gloves, Except Knit and All-Leather"
239,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2384,Robes and Dressing Gowns
240,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2385,Waterproof Outerwear
241,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2386,Leather and Sheep-Lined Clothing
242,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2387,Apparel belts
243,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2389,"Apparel and Accessories, Not Elsewhere Classified"
244,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2390,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS
245,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2391,Curtains and Draperies
246,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2392,"House furnishing, Except Curtains and Draperies"
247,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2393,Textile Bags
248,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2394,Canvas and Related Products
249,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2395,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade"
250,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2396,"Automotive Trimmings, Apparel Findings, and Related Products"
251,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2397,Schiffli Machine Embroideries
252,D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,2399,"Fabricated Textile Products, Not Elsewhere Classified"
253,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2400,LUMBER & WOOD PRODUCTS (NO FURNITURE)
254,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2411,Logging
255,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2421,"Sawmills and Planing Mills, General"
256,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2426,Hardwood Dimension and Flooring Mills
257,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2429,"Special Product Sawmills, Not Elsewhere Classified"
258,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2430,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS"
259,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2431,Millwork
260,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2434,Wood Kitchen Cabinets
261,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2435,Hardwood Veneer and Plywood
262,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2436,Softwood Veneer and Plywood
263,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2439,"Structural Wood Members, Not Elsewhere Classified"
264,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2441,Nailed and Lock Corner Wood Boxes and Shook
265,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2448,Wood Pallets and Skids
266,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2449,"Wood Containers, Not Elsewhere Classified"
267,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2451,Mobile Homes
268,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2452,Prefabricated Wood Buildings and Components
269,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2491,Wood Preserving
270,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2493,Reconstituted Wood Products
271,D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",2499,"Wood Products, Not Elsewhere Classified"
272,D,Manufacturing,25,Furniture And Fixtures,2510,HOUSEHOLD FURNITURE
273,D,Manufacturing,25,Furniture And Fixtures,2511,"Wood Household Furniture, Except Upholstered"
