Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-10,0.0,1.4474259633866566,1.4248099327087402,1.4248099327087402,27300,0.0,0
1980-03-11,0.0,1.4700423553586004,1.4248102828860283,1.4474263191223145,32200,0.0,0
1980-03-12,0.0,1.4700423553586004,1.4248102828860283,1.4474263191223145,36200,0.0,0
1980-03-13,0.0,1.4700423553586004,1.4474263191223145,1.4474263191223145,28200,0.0,0
1980-03-14,0.0,1.4700419902801514,1.424809929040762,1.4700419902801514,12600,0.0,0
1980-03-17,0.0,1.4926580247424897,1.4248099327087402,1.4248099327087402,22900,0.0,0
1980-03-18,0.0,1.4700419902801514,1.424809929040762,1.4700419902801514,26500,0.0,0
1980-03-19,0.0,1.4700423553586004,1.4474263191223145,1.4474263191223145,30000,0.0,0
1980-03-20,0.0,1.4700419902801514,1.4474259596604566,1.4700419902801514,18000,0.0,0
1980-03-21,0.0,1.4700423553586004,1.4248102828860283,1.4474263191223145,18500,0.0,0
1980-03-24,0.0,1.4474263191223145,1.4248102828860283,1.4474263191223145,27600,0.0,0
1980-03-25,0.0,1.4474263191223145,1.4248102828860283,1.4474263191223145,18500,0.0,0
1980-03-26,0.0,1.4700423553586004,1.4474263191223145,1.4474263191223145,60900,0.0,0
1980-03-27,0.0,1.4474259633866566,1.4021939020308236,1.4248099327087402,31000,0.0,0
1980-03-28,0.0,1.4248099327087402,1.3795778713529072,1.4248099327087402,25000,0.0,0
1980-03-31,0.0,1.4474263191223145,1.4021942466497421,1.4474263191223145,16700,0.0,0
1980-04-01,0.0,1.4474263191223145,1.4248102828860283,1.4474263191223145,20300,0.0,0
1980-04-02,0.0,1.5152732133865356,1.4248091409455486,1.5152732133865356,62500,0.0,0
1980-04-03,0.0,1.5378898346062864,1.4926577806472778,1.4926577806472778,30100,0.0,0
1980-04-07,0.0,1.5152744278311727,1.4474263191223145,1.4474263191223145,26200,0.0,0
1980-04-08,0.0,1.4700419902801514,1.4474259596604566,1.4700419902801514,21600,0.0,0
1980-04-09,0.0,1.5378905534744263,1.4474264032700481,1.5378905534744263,32600,0.0,0
1980-04-10,0.0,1.5605069398880005,1.5152748546738557,1.5605069398880005,58600,0.0,0
1980-04-11,0.0,1.5831226285766151,1.5378905534744263,1.5378905534744263,43800,0.0,0
1980-04-14,0.0,1.5605069398880005,1.5378908972809282,1.5605069398880005,22700,0.0,0
1980-04-15,0.0,1.5605052496070293,1.5152732133865356,1.5152732133865356,29800,0.0,0
1980-04-16,0.0,1.583122982495073,1.5378908972809282,1.5605069398880005,55500,0.0,0
1980-04-17,0.0,1.583122982495073,1.5605069398880005,1.5605069398880005,30700,0.0,0
1980-04-18,0.0,1.6057376861572266,1.56050563865984,1.6057376861572266,15200,0.0,0
1980-04-21,0.0,1.6057390251021455,1.5605069398880005,1.5605069398880005,30200,0.0,0
1980-04-22,0.0,1.6057390251021455,1.5152748546738557,1.5605069398880005,24600,0.0,0
1980-04-23,0.0,1.6057376861572266,1.56050563865984,1.6057376861572266,49300,0.0,0
1980-04-24,0.0,1.62835370990592,1.5831216624085331,1.6057376861572266,55900,0.0,0
1980-04-25,0.0,1.6509699821472168,1.5152738192310071,1.6509699821472168,15000,0.0,0
1980-04-28,0.0,1.6509699821472168,1.6057379278418136,1.6509699821472168,19600,0.0,0
1980-04-29,0.0,1.62835370990592,1.6057376861572266,1.6057376861572266,19200,0.0,0
1980-04-30,0.0,1.6057376861572266,1.5831216624085331,1.6057376861572266,21100,0.0,0
1980-05-01,0.0,1.6057376861572266,1.5831216624085331,1.6057376861572266,31600,0.0,0
1980-05-02,0.0,1.6057376861572266,1.5831216624085331,1.6057376861572266,19600,0.0,0
1980-05-05,0.0,1.628355053492955,1.583122968673706,1.583122968673706,47900,0.0,0
1980-05-06,0.0,1.62835370990592,1.5831216624085331,1.6057376861572266,112000,0.0,0
1980-05-07,0.0,1.6735860092999184,1.583121900689112,1.6509699821472168,87900,0.0,0
1980-05-08,0.0,1.673587918281555,1.6509718653318044,1.6735879182815552,40500,0.0,0
1980-05-09,0.0,1.6962023973464966,1.6509703334172565,1.6962023973464966,23300,0.0,0
1980-05-12,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,28100,0.0,0
1980-05-13,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,24000,0.0,0
1980-05-14,0.0,1.6962023973464966,1.6735863653818766,1.6962023973464966,12700,0.0,0
1980-05-15,0.0,1.6962039712313057,1.673587918281555,1.6735879182815552,17100,0.0,0
1980-05-16,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,20000,0.0,0
1980-05-19,0.0,1.673587918281555,1.6283558123820536,1.6735879182815552,35900,0.0,0
1980-05-20,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,22600,0.0,0
1980-05-21,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,27300,0.0,0
1980-05-22,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,66100,0.0,0
1980-05-23,0.0,1.62835370990592,1.5831216624085331,1.6057376861572266,33000,0.0,0
1980-05-27,0.0,1.62835370990592,1.5831216624085331,1.6057376861572266,247700,0.0,0
1980-05-28,0.0,1.6509697336546132,1.5831216624085331,1.6057376861572266,21500,0.0,0
1980-05-29,0.0,1.650969980491532,1.6057379262314901,1.6283539533615112,34700,0.0,0
1980-05-30,0.0,1.650969980491532,1.6057379262314901,1.6283539533615112,18300,0.0,0
1980-06-02,0.0,1.62835370990592,1.56050563865984,1.6057376861572266,110600,0.0,0
1980-06-03,0.0,1.6057376861572266,1.5831216624085331,1.6057376861572266,19600,0.0,0
1980-06-04,0.0,1.628355053492955,1.583122968673706,1.583122968673706,22600,0.0,0
1980-06-05,0.0,1.6509699821472168,1.583121900689112,1.6509699821472168,45600,0.0,0
1980-06-06,0.0,1.7188185453414917,1.6283544113761501,1.7188185453414917,44300,0.0,0
1980-06-09,0.0,1.7188200241810565,1.6509718653318044,1.6735879182815552,53000,0.0,0
1980-06-10,0.0,1.7188185453414917,1.673586478358821,1.7188185453414917,31800,0.0,0
1980-06-11,0.0,1.7188185453414917,1.6962025118501562,1.7188185453414917,30300,0.0,0
1980-06-12,0.0,1.7188184293111164,1.6283543014526367,1.6962023973464966,22300,0.0,0
1980-06-13,0.0,1.7414348125457764,1.6962027394926393,1.7414348125457764,48300,0.0,0
1980-06-16,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,24200,0.0,0
1980-06-17,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,20900,0.0,0
1980-06-18,0.0,1.7414348125457764,1.718818776019208,1.7414348125457764,26200,0.0,0
1980-06-19,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,23500,0.0,0
1980-06-20,0.0,1.7188185453414917,1.6962025118501562,1.7188185453414917,18500,0.0,0
1980-06-23,0.0,1.7188184293111164,1.6962023973464966,1.6962023973464966,31200,0.0,0
1980-06-24,0.0,1.7188200241810565,1.673587918281555,1.6735879182815552,18700,0.0,0
1980-06-25,0.0,1.7188185453414917,1.673586478358821,1.7188185453414917,24200,0.0,0
1980-06-26,0.0,1.764050849072345,1.6962027394926393,1.7414348125457764,339800,0.0,0
1980-06-27,0.0,1.764050849072345,1.718818776019208,1.7414348125457764,18000,0.0,0
1980-06-30,0.0,1.7414345788328272,1.7188185453414917,1.7188185453414917,29400,0.0,0
1980-07-01,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,25600,0.0,0
1980-07-02,0.0,1.7188185453414917,1.6962025118501562,1.7188185453414917,27000,0.0,0
1980-07-03,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,28400,0.0,0
1980-07-07,0.0,1.7414345788328272,1.6962025118501562,1.7188185453414917,27900,0.0,0
1980-07-08,0.0,1.7414345788328272,1.7188185453414917,1.7188185453414917,24300,0.0,0
1980-07-09,0.0,1.7414344612757364,1.6962023973464966,1.6962023973464966,18400,0.0,0
1980-07-10,0.0,1.7188185453414917,1.673586478358821,1.7188185453414917,22700,0.0,0
1980-07-11,0.0,1.7188200241810565,1.673587918281555,1.6735879182815552,24000,0.0,0
1980-07-14,0.0,1.7188200241810565,1.673587918281555,1.6735879182815552,25800,0.0,0
1980-07-15,0.0,1.7188184293111164,1.6735863653818766,1.6962023973464966,41800,0.0,0
1980-07-16,0.0,1.7188185453414917,1.6962025118501562,1.7188185453414917,18400,0.0,0
1980-07-17,0.0,1.7188185453414917,1.673586478358821,1.7188185453414917,21800,0.0,0
1980-07-18,0.0,1.7188185453414917,1.6962025118501562,1.7188185453414917,20900,0.0,0
1980-07-21,0.0,1.6962039712313057,1.673587918281555,1.6735879182815552,25800,0.0,0
1980-07-22,0.0,1.7188200241810565,1.673587918281555,1.6735879182815552,18800,0.0,0
1980-07-23,0.0,1.673587918281555,1.6283558123820536,1.6735879182815552,25700,0.0,0
1980-07-24,0.0,1.6962039712313057,1.6509718653318044,1.6735879182815552,19000,0.0,0
1980-07-25,0.0,1.6735860092999184,1.6283539549945152,1.6509699821472168,50800,0.0,0
